Tmin (C ),Subcooling  (oC),System pressure (MPa),Material ,L/D,_f,_w,_f/_w,Tmin (Mori),Tmin (Adler),Tmin (Dhir),Tmin (Lauer),Tmin (Freud),Tmin (shikha_7),Tmin (shikha_8),Tmin (shikha_9),Tmin (Brenson),Tmin (Henry),Tmin (Perenson),Tmin (Shikha),Tmin (Sakurai),Tmin (Henry_1atm),Tmin (exp_1atm),Tmin (exp2_1atm),Tmin (ANN_1atm)
541.6064,8.506505,0.1,Zirconium,6.35,2743474.81,2.30E+07,0.119281513,303.7987875,281.03903,269.05204,378.728834,323.1000885,358.5130985,396.3183025,315.545535,143.4243522,305.6236379,790.7847635,379.2137127,490.9706615,239.051241,340,354.14,379.39276
588.6424,9.688866,0.1,Zirconium,6.35,2743290.707,2.30E+07,0.119273509,312.666495,288.133196,278.510928,385.6964873,332.2042682,369.9820002,408.733093,323.822062,143.4494871,309.6769628,806.0478756,384.7570342,490.9706615,233.4071368,316.2,330.61,311.64996
616.1541,11.08903,0.1,Zirconium,6.35,2743047.337,2.30E+07,0.119262928,323.167725,296.53418,289.71224,393.9476538,342.985531,383.563591,423.434815,333.62321,143.4793024,314.481585,824.1315363,391.3233283,490.9706615,257.6086597,427.01,309.98,282.76575
612.6042,14.2005,0.1,Zirconium,6.35,2742406.631,2.30E+07,0.119235071,346.50375,315.203,314.604,412.2835465,366.94385,413.74485,456.10525,355.4035,143.5457559,325.176221,864.3508484,405.9219639,490.9706615,248.3790935,354.03,432.98,425.0196
648.9906,16.0985,0.1,Zirconium,6.35,2741947.017,2.30E+07,0.119215088,360.73875,326.591,329.788,423.4684605,381.55845,432.15545,476.03425,368.6895,143.5864281,331.7117494,888.9064237,414.8316394,490.9706615,238.5111292,313.51,350.04,379.39276
631.2412,16.90749,0.1,Zirconium,6.35,2741735.033,2.30E+07,0.119205871,366.806175,331.44494,336.25992,428.2358386,387.787673,440.002653,484.528645,374.35243,143.6037956,334.500077,899.3776325,418.6302327,490.9706615,233.4036218,297.52,316.52,311.64996
657.8653,18.68103,0.1,Zirconium,6.35,2741236.275,2.30E+07,0.119184186,380.107725,342.08618,350.44824,438.6873098,401.443931,457.205991,503.150815,386.76721,143.6419367,340.6184092,922.3433026,426.9598702,490.9706615,264.4983505,335.17,311.84,282.76575
380.0862566,0,0.1,316 stainless steel,6.68,2744237.67,5.10E+07,0.053808582,240,230,201,328.6,257.6,276,307,256,143.2446393,229.9444759,429.0556729,282.7536111,490.9706615,273.8535391,363.35,439,430.77594
367.6616328,0.012179332,0.1,316 stainless steel,6.68,2744237.266,5.10E+07,0.053808574,240.091345,230.073076,201.0974347,328.6717728,257.6937809,276.1181395,307.127883,256.0852553,143.2448953,229.9685013,429.1390088,282.794214,490.9706615,286.2104318,413.33,372.02,368.9745
405.8229773,0.852277502,0.1,316 stainless steel,6.68,2744204.695,5.10E+07,0.053807935,246.3920813,235.113665,207.81822,333.6224713,264.1625368,284.2670918,315.9489138,261.9659425,143.2625579,231.6262786,434.8883926,285.595203,490.9706615,301.9530389,474.23,340,318.95837
